Nama Toko,Nama Produk,Harga,Deskripsi Produk
preloved.nata,Sivanna Colors The Peach Pro Velvet,"Rp 125,000","Baruuu cuman dipake foto dan review, isi full seperti foto. Dijual karena kebanyakan makeup"
keemaesong,Some By Mi Bye Bye Blackhead Bubble Cleanser,"Rp 65,000",isi 50% sesuai foto di slide ke 2 100% ORIGINAL EXP 2022
momoms_stuffs,Eileen grace jelly mask,"Rp 235,000Rp 250,000","mask ini baru sy pake 3 kali saja jadi masih banyak sekali, sy belinya di official store di shoppee. sy jual karna di saya ga cocok.  HB dl 389rb   Keunggulan: 1. Terbuat dari bahan alami dan  NO ALKOHOL maupun ekstrak hewani 2. Bersertifikat SGS Internasional, ECOCERT & GMP Taiwan 3. Aman digunakan"
caca944449,Zoya Lip Paint- BELI 1 GRATIS 1- tipe color carousel & geranium,"Rp 10,000","Lip paint with shea butter, velvet matte merk ZOYA ada 2 warna: -Geranium (NEW, masih segel) -Carousel (baru bbrp x pake doang, isi masih banyak banget) Harga 10.000 dapet 22nya 😍 Dijual krn udh ga bs kepake buat dandan lg sehari2 udh jd mamak2 malas dandan hahaa COD surabaya/shopee belum termasuk o"
preloved.nata,Scion deodorant,"Rp 20,000",Beli karena lapar mata
bunzishop,Wardah eyexpert  Eyebrow kit,"Rp 30,000","Wardah eyexpert  Eyebrow kit  untuk membentuk alis sudah lengkap dengan kuas, cocok untuk yang baru belajar membuat alis"
devirawjy,Raiku anti aging serum,"Rp 25,000",Dipakai hanya 4x 
devirawjy,Biore uv aqua rich,"Rp 65,000",Tidak pernah di pakai cuman lupa expnya kapan. Baru beli bulan desember di harga 149k
preloved.nata,Votre Peau Brightening Essence,"Rp 120,000","Baruuu isi full cuman dipakai foto aja, alasan jual kebanyakan skincare"
flovastuff,DISKON ONLY FOR TODAY Remington Proluxe Limited Edition,"Rp 750,000Rp 950,000",Remington Proluxe Condition : 80% still good Masih ada pouch rose gold nya  Nett price
kikagugy,Botol Kosong Body Shop,"Rp 15,000",Botol kosong TBS Body mist @15.000
cryptamea,Make Over Powerstay Matte Powder Foundation - C62 Rich Cocoa,"Rp 20,000",Make Over Powerstay Matte Powder Foundation - C62 Rich Cocoa  BARU 1X PAKAI  Exp. 2021/04/07
zwanly,"TAKE ALL LOREAL , LIPBALM, MASKER ORGANIK","Rp 42,000","loreal nya baru masih segel exp 2023, lipbalm oriflame 50% buka pas 2019 akhir, masker organik baru"
rivelshop,FREEMAN CHARCOAL + BLACK SUGAR MUD MASK,"Rp 56,000Rp 60,000",Masih banyak sekitar 88% exp 09/2022 
prelovedlinsxo,Catokan Mini Korea,"Rp 80,000Rp 100,000",Brand new.  Mini hair straighter from Korea.
piiyoo29,Smashbox primer,"Rp 140,000",ini masih banyak ya.bgus bngttt loh buat primer muka .klo difoto bagus hsil make upnya kl pakai primer ini🤩🤩🤩😍😍😍
rirryfiany,Victoria Secret Beyond,"Rp 70,000",Isi 65-70%  ORIGINAL 1000% Beli di Victoria Secret Kokas   Baru nya 280.000
satar13,Loreal uv perfect,"Rp 40,000",Baru ya bund exp 2023
mery_tj.,Essential Oil BATHAHOLIC Sandalwood,"Rp 85,000","isi 95% nobox ori, open nego"
herlovedcloset,Nyx Suede Matte Lip Liner (Shade: Whipped Caviar),"Rp 17,500",100% Original Shade: Whipped Caviar
sellingmything,Chanel Rouge Allure Ink Shade 192 Sentimentale Free HERA Eye Designer Pencil,"Rp 200,000Rp 220,000",Original beli di Tunjungan Plaza. Isi masih 95% kurang dari 10x pemakaian. Terakhir kali dipakai bulan Januari. Masih ada receipt + box. Pembayaran via  BCA/Shopee. Harga beli 550.000 di counter TP Surabaya. 100% original.    Free HERA Eye Designer Pencil Detail pencil ada dipostingan di toko ini 
arlitapermataa,Zara Parfum,"Rp 60,000",FOR SALE!!!!  PARFUM ZARA cmn ada 4 nih random wanginyaa
